Date,Open,High,Low,Close,Adj Close,Volume
2022-12-03,0.303132,0.308987,0.300955,0.303349,0.303349,216858789
2022-12-04,0.303329,0.307428,0.302571,0.306107,0.306107,165453677
2022-12-05,0.306068,0.311839,0.302584,0.304402,0.304402,193152064
2022-12-06,0.304398,0.305197,0.300358,0.304237,0.304237,155385366
2022-12-07,0.304252,0.305032,0.293005,0.295205,0.295205,213304696
2022-12-08,0.295205,0.298914,0.293377,0.298268,0.298268,155516277
2022-12-09,0.298249,0.299429,0.293553,0.295519,0.295519,150696270
2022-12-10,0.295549,0.298630,0.295271,0.296548,0.296548,90446319
2022-12-11,0.296562,0.299128,0.291172,0.292472,0.292472,115149646
2022-12-12,0.292461,0.292861,0.287741,0.291183,0.291183,170868382
2022-12-13,0.291176,0.298369,0.284406,0.294477,0.294477,286446695
2022-12-14,0.294525,0.296596,0.287127,0.288619,0.288619,239184671
2022-12-15,0.288606,0.288990,0.281015,0.282177,0.282177,208575333
2022-12-16,0.282183,0.282989,0.247019,0.249174,0.249174,391977145
2022-12-17,0.249130,0.252252,0.245553,0.251923,0.251923,317629302
2022-12-18,0.251948,0.255496,0.249184,0.251627,0.251627,169059970
2022-12-19,0.251639,0.254098,0.236765,0.238350,0.238350,212113754
2022-12-20,0.238366,0.245596,0.237855,0.243760,0.243760,176018811
2022-12-21,0.243749,0.244004,0.234946,0.238639,0.238639,192756841
2022-12-22,0.238643,0.242234,0.234229,0.241974,0.241974,164405786
2022-12-23,0.241991,0.247316,0.241255,0.243207,0.243207,167718933
2022-12-24,0.243205,0.244105,0.241268,0.243147,0.243147,84995485
2022-12-25,0.243150,0.243650,0.240396,0.244111,0.244111,111325049
2022-12-26,0.244132,0.249361,0.243065,0.249351,0.249351,142433727
2022-12-27,0.249360,0.250056,0.242020,0.244780,0.244780,154491808
2022-12-28,0.244793,0.245211,0.233667,0.233682,0.233682,197194877
2022-12-29,0.233684,0.233760,0.226062,0.229012,0.229012,201139491
2022-12-30,0.228999,0.229819,0.225835,0.228934,0.228934,149123943
2022-12-31,0.228952,0.234640,0.227876,0.229773,0.229773,134361521
2023-01-01,0.229725,0.233295,0.227702,0.233295,0.233295,105891651
2023-01-02,0.233301,0.239741,0.231005,0.237741,0.237741,149230384
2023-01-03,0.237714,0.240960,0.237276,0.239724,0.239724,145615173
2023-01-04,0.239724,0.253920,0.238866,0.252385,0.252385,273380611
2023-01-05,0.252396,0.256864,0.248662,0.255769,0.255769,166815578
2023-01-06,0.255758,0.261969,0.255382,0.261306,0.261306,306157367
2023-01-07,0.261317,0.262587,0.255794,0.259863,0.259863,156128864
2023-01-08,0.259791,0.276863,0.257874,0.276863,0.276863,366841284
2023-01-09,0.277048,0.319574,0.277048,0.295455,0.295455,891835171
2023-01-10,0.295433,0.302145,0.288275,0.300317,0.300317,386896551
2023-01-11,0.300322,0.300858,0.287455,0.299795,0.299795,300941457
2023-01-12,0.304196,0.308335,0.294485,0.303648,0.303648,457963446
2023-01-13,0.303644,0.322415,0.299295,0.318785,0.318785,337070816
2023-01-14,0.318756,0.340174,0.316252,0.325128,0.325128,689008385
2023-01-15,0.325190,0.325717,0.313529,0.323733,0.323733,330864440
2023-01-16,0.323779,0.334043,0.314684,0.323169,0.323169,368197130
2023-01-17,0.323212,0.327648,0.320446,0.320461,0.320461,274569905
2023-01-18,0.320471,0.325831,0.302683,0.302684,0.302684,427844707
2023-01-19,0.302690,0.316139,0.302600,0.313010,0.313010,232677532
2023-01-20,0.312961,0.335358,0.308867,0.335200,0.335200,335910761
2023-01-21,0.335203,0.348820,0.330191,0.339260,0.339260,560090508
2023-01-22,0.339266,0.355169,0.334643,0.346633,0.346633,556405850
2023-01-23,0.346630,0.351361,0.340433,0.345404,0.345404,484336334
2023-01-24,0.345299,0.351164,0.329155,0.329936,0.329936,351286331
2023-01-25,0.329980,0.346864,0.319901,0.341921,0.341921,362992074
2023-01-26,0.341808,0.354159,0.341388,0.348890,0.348890,441661104
2023-01-27,0.348887,0.358083,0.340257,0.357796,0.357796,332047548
2023-01-28,0.357810,0.365315,0.349255,0.351668,0.351668,325842825
2023-01-29,0.351664,0.366769,0.347879,0.364529,0.364529,302078995
2023-01-30,0.364860,0.365707,0.339684,0.343315,0.343315,367684402
2023-01-31,0.343348,0.365307,0.340950,0.359946,0.359946,429112549
2023-02-01,0.359888,0.364601,0.341456,0.360710,0.360710,443429234
2023-02-02,0.360661,0.378334,0.362651,0.364580,0.364580,506037624
2023-02-03,0.364527,0.375083,0.365737,0.374193,0.374193,350838139
2023-02-04,0.374097,0.374820,0.368638,0.369727,0.369727,245017354
2023-02-05,0.369729,0.371023,0.356217,0.363761,0.363761,315672467
2023-02-06,0.363765,0.373089,0.355783,0.356430,0.356430,319945343
2023-02-07,0.356469,0.372172,0.356357,0.372027,0.372027,346376158
2023-02-08,0.372030,0.374803,0.361142,0.367726,0.367726,333066429
2023-02-09,0.367764,0.368827,0.334191,0.337571,0.337571,452955872
2023-02-10,0.337508,0.342364,0.331867,0.335533,0.335533,334669085
2023-02-11,0.335554,0.346042,0.334734,0.345420,0.345420,209615065
2023-02-12,0.345386,0.350035,0.338073,0.341184,0.341184,225986974
2023-02-13,0.341180,0.342500,0.323652,0.335132,0.335132,343710591
2023-02-14,0.335080,0.365276,0.330963,0.359965,0.359965,443789628
2023-02-15,0.359998,0.391071,0.356988,0.391071,0.391071,447380889
2023-02-16,0.391020,0.392065,0.363479,0.363696,0.363696,518462843
2023-02-17,0.363659,0.382686,0.363003,0.376937,0.376937,376566746
2023-02-18,0.376923,0.388137,0.371832,0.379164,0.379164,293583801
2023-02-19,0.379141,0.384107,0.373478,0.374490,0.374490,324469805
2023-02-20,0.374531,0.382862,0.367166,0.378195,0.378195,351578169
2023-02-21,0.378233,0.380091,0.364279,0.368417,0.368417,363975902
2023-02-22,0.368435,0.368619,0.356371,0.366715,0.366715,361826198
2023-02-23,0.366720,0.371474,0.359833,0.361426,0.361426,275001181
2023-02-24,0.361380,0.362889,0.340867,0.345611,0.345611,374777453
2023-02-25,0.345634,0.347019,0.334718,0.342742,0.342742,266620612
2023-02-26,0.342768,0.350470,0.339067,0.349622,0.349622,196792099
2023-02-27,0.349591,0.348475,0.338307,0.343935,0.343935,219361664
2023-02-28,0.343924,0.346975,0.330619,0.333238,0.333238,227101070
2023-03-01,0.333306,0.340896,0.331654,0.337771,0.337771,215265715
2023-03-02,0.337785,0.338445,0.326733,0.330434,0.330434,231169575
2023-03-03,0.330481,0.330919,0.308830,0.322076,0.322076,372192099
2023-03-04,0.322091,0.323580,0.311733,0.316214,0.316214,162623655
2023-03-05,0.316205,0.321859,0.315106,0.317248,0.317248,161719223
2023-03-06,0.317246,0.318213,0.309198,0.309567,0.309567,211308034
2023-03-07,0.309605,0.313136,0.304864,0.313303,0.313303,257971589
2023-03-08,0.313291,0.315192,0.299358,0.301047,0.301047,278281619
2023-03-09,0.301076,0.303892,0.286562,0.292534,0.292534,419640833
2023-03-10,0.301076,0.303892,0.286554,0.292534,0.292534,419640833
2023-03-11,0.292600,0.298159,0.281719,0.295915,0.295915,440934311
2023-03-12,0.295907,0.302908,0.286054,0.288665,0.288665,417493185
2023-03-13,0.288657,0.310386,0.285923,0.310386,0.310386,351824655
2023-03-14,0.310445,0.328364,0.307422,0.321350,0.321350,608860496
2023-03-15,0.321346,0.343867,0.316054,0.320982,0.320982,554505923
2023-03-16,0.321062,0.323925,0.301364,0.306791,0.306791,556955079
2023-03-17,0.306914,0.310573,0.302168,0.306569,0.306569,322354329
2023-03-18,0.306588,0.326005,0.304007,0.326005,0.326005,384146529
2023-03-19,0.326015,0.331216,0.312735,0.313406,0.313406,340798479
2023-03-20,0.313411,0.329727,0.313411,0.323957,0.323957,251861040
2023-03-21,0.323911,0.324521,0.309892,0.310292,0.310292,300521030
2023-03-22,0.310316,0.356827,0.309757,0.344592,0.344592,636720399
2023-03-23,0.344553,0.359210,0.323532,0.331782,0.331782,729366937
2023-03-24,0.331748,0.352519,0.325985,0.343381,0.343381,401510719
2023-03-25,0.343395,0.344166,0.331734,0.334139,0.334139,283561251
2023-03-26,0.334154,0.336731,0.324738,0.326634,0.326634,196225120
2023-03-27,0.326639,0.335196,0.324593,0.330537,0.330537,204048606
2023-03-28,0.330545,0.331478,0.314105,0.319729,0.319729,279649934
2023-03-29,0.319781,0.340870,0.317856,0.339833,0.339833,294829130
2023-03-30,0.339786,0.359113,0.338774,0.351930,0.351930,435485294
